"","Age","d_prob_m","d_prob_f"
"1",0,0.00613,0.005
"2",1,0.00042,0.00032
"3",2,3e-04,0.00022
"4",3,0.00022,0.00015
"5",4,0.00017,0.00012
"6",5,0.00014,0.00012
"7",6,0.00012,0.00011
"8",7,0.00012,9e-05
"9",8,0.00011,0.00011
"10",9,0.00013,1e-04
"11",10,0.00012,0.00011
"12",11,0.00012,0.00012
"13",12,0.00016,0.00012
"14",13,0.00019,0.00014
"15",14,0.00027,0.00016
"16",15,0.00037,2e-04
"17",16,0.00048,0.00023
"18",17,0.00066,0.00029
"19",18,9e-04,0.00035
"20",19,0.00099,0.00039
"21",20,0.00109,0.00043
"22",21,0.00127,0.00045
"23",22,0.00133,0.00048
"24",23,0.00138,0.00051
"25",24,0.00146,0.00054
"26",25,0.0015,0.00058
"27",26,0.00156,0.00063
"28",27,0.00169,0.00067
"29",28,0.00172,0.00072
"30",29,0.00172,0.00079
"31",30,0.00184,0.00086
"32",31,0.00182,0.00085
"33",32,0.00188,0.00094
"34",33,0.00195,0.00098
"35",34,0.00199,0.001
"36",35,0.00215,0.0011
"37",36,0.00215,0.00115
"38",37,0.00225,0.00119
"39",38,0.00238,0.00126
"40",39,0.00247,0.00139
"41",40,0.00251,0.00141
"42",41,0.00264,0.0015
"43",42,0.00266,0.00157
"44",43,0.00282,0.00173
"45",44,0.00307,0.0018
"46",45,0.00333,0.00203
"47",46,0.00362,0.00223
"48",47,0.00388,0.00236
"49",48,0.00411,0.00253
"50",49,0.00451,0.00273
"51",50,0.00485,0.00299
"52",51,0.00531,0.00338
"53",52,0.00585,0.0036
"54",53,0.00641,0.00392
"55",54,0.00709,0.00434
"56",55,0.00778,0.0047
"57",56,0.00846,0.00518
"58",57,0.00922,0.00556
"59",58,0.00984,0.00594
"60",59,0.01062,0.00639
"61",60,0.01142,0.00687
"62",61,0.01244,0.00745
"63",62,0.01331,0.00786
"64",63,0.01442,0.00848
"65",64,0.01523,0.00896
"66",65,0.01625,0.00972
"67",66,0.01741,0.01042
"68",67,0.01826,0.01125
"69",68,0.01913,0.01205
"70",69,0.02088,0.01321
"71",70,0.02213,0.01455
"72",71,0.02552,0.01703
"73",72,0.02496,0.01686
"74",73,0.02867,0.01954
"75",74,0.0314,0.02171
"76",75,0.03566,0.02483
"77",76,0.03728,0.02608
"78",77,0.0413,0.02881
"79",78,0.04423,0.03175
"80",79,0.04923,0.03538
"81",80,0.05457,0.03969
"82",81,0.05929,0.04388
"83",82,0.06781,0.05103
"84",83,0.07655,0.05918
"85",84,0.08441,0.06475
"86",85,0.09497,0.07355
"87",86,0.10492,0.08155
"88",87,0.11588,0.09139
"89",88,0.13149,0.1036
"90",89,0.14443,0.11525
"91",90,0.16005,0.12912
"92",91,0.17713,0.14422
"93",92,0.1941,0.15822
"94",93,0.2164,0.1756
"95",94,0.23441,0.19407
"96",95,0.25404,0.2134
"97",96,0.27491,0.23331
"98",97,0.29626,0.25403
"99",98,0.31793,0.27543
"100",99,0.33973,0.29733
"101",100,0.36148,0.31955
"102",101,0.38298,0.34189
"103",102,0.40407,0.36416
"104",103,0.42459,0.38615
"105",104,0.44438,0.40768
"106",105,0.46333,0.42858
"107",106,0.48134,0.44869
"108",107,0.49833,0.46789
"109",108,0.51426,0.48608
"110",109,0.5291,0.50319
"111",NA,1,1
